proposition,auteur,age,votes,adhesion,engagement,score
Il faut éteindre toutes les lumières des entreprises et des vitrines de magasin dès 21h,lory,,375,0.870234899328859,0.5793357933579328,1.449570692686792
Il faut créer et respecter des espaces naturels ( faune et flore sauvage),Lucia ,,127,0.926525423728814,0.5225225225225218,1.4490479462513357
"Il faut favoriser, voire inciter, l'installation de petites exploitations agricoles en polyculture",Christian,,1171,0.837224080267559,0.6117647058823531,1.4489887861499122
Il faut reprendre la main sur les graines et les semences pour garantir une diversité et une pérennité dans l'approvisionnement ,Ginette,65,330,0.823255033557047,0.6254980079681275,1.4487530415251744
Il faut remettre le système de consignation des bouteilles en verres pour supprimer les bouteilles plastiques ,muriel,,306,0.907458193979933,0.5412186379928309,1.4486768319727639
"Il faut encourager et faciliter l'installation des petites exploitations agricoles écologiques, sur les plans financier et administratif.",Iris,,61,0.922166666666667,0.5263157894736846,1.4484824561403515
Il faut pénaliser l'obsolescence programmée et définir des normes de durabilité des produits industriels.,Xavier,,314,0.914433333333333,0.5338078291814947,1.4482411625148277
Il faut retisser le tissus industriel français et renforcer l'artisanat. Développer les productions locales dans tous les domaines.,Alain,,280,0.911258992805755,0.5366795366795365,1.4479385294852913
"Il faut respecter les saisons en agriculture et privilégier le bio et le local pour la restauration (cantines, entreprises, restaurants...).",Thanaële,,148,0.947823129251701,0.5000000000000003,1.4478231292517014
Il faut créer des circuits courts en alimentation durable,fred,56,340,0.952862068965517,0.4946619217081847,1.4475239906737016
"Il faut que les aides publiques aux entreprises (CICE, etc.) soient conditionnées au respect d'engagements sociaux et environnementaux ",Camille,,464,0.9111,0.5359712230215826,1.4470712230215828
Il faut définir les produits de nécessité nationale et en assurer la production locale.,Pierre,39,306,0.907147651006711,0.5398550724637673,1.4470027234704783
Il faut arrêter l'obsolescence programmée afin d'avoir du matériel qui dure longtemps et développer des organismes de réparation de matériel,Jessica,27,359,0.930637583892617,0.5160142348754443,1.4466518187680613
"Il faut empêcher l'accaparement des terres agricoles par des fonds d'investissements étrangers, et garantir la souveraineté alimentaire ",laurent,47,347,0.876946308724832,0.5692883895131085,1.4462346982379404
Il faut acheter plus en circuit court fruits et légumes de saison,Stéphane,,184,0.903865030674847,0.5419354838709683,1.4458005145458155
"Il faut consommer davantage local, en passant par les circuits courts. ",Amandine,,333,0.960368852459016,0.48535564853556507,1.4457245009945812
"Il faut développer au maximum les marchés de producteurs locaux ainsi que les amap, et acheter les fruit/légumes de saisons au maximum. ",Nicolas,,305,0.941747211895911,0.5038759689922481,1.445623180888159
"Il faut soutenir les producteurs locaux, le circuit-court et récompenser ses acheteurs, face à la grande distribution",Alan,45,279,0.929280303030303,0.5158730158730164,1.4451533189033192
"Il faut sauver l'hôpital public: mieux rémunérer les personnels, attribuer plus de crédits pour ne pas fermer de lits... ",Véronique,58,399,0.887766666666667,0.5567765567765565,1.4445432234432234
Il faut arrêter le suremballage pour limiter les déchets et la pollution par les plastiques.,Catherine,,326,0.954433333333333,0.48986486486486475,1.4442981981981977
Il faut viser l'autonomie alimentaire en aidant l'installation de nombreux maraîchers et petites exploitations agricoles autour des villes,Agnès,,156,0.954315068493151,0.48951048951049014,1.443825558003641
"Il faut aider les agriculteurs à se lancer dans la production bio, la permaculture ",Emilie,,356,0.90417004048583,0.5394736842105261,1.443643724696356
"Il faut relocaliser les activités des secteurs stratégiques, pour assurer notre sécurité alimentaire, sanitaire et énergétique",Camille,,329,0.903468013468013,0.5401459854014601,1.443613998869473
Il faut encourager et développer les filières de vente directe du producteur au consommateur (abattement de charges les 2 premières années),Audrey,,260,0.9387890625,0.5040983606557385,1.4428874231557387
Il faut réformer la PAC européenne pour favoriser les petits producteurs locaux et défavoriser l’agriculture intensive.,Yoann,27,426,0.89742474916388,0.5454545454545456,1.4428792946184257
Il faut valoriser le travail des agriculteurs et l'accompagnement vers une agriculture biologique,Marie,30,457,0.910503355704698,0.5323741007194245,1.4428774564241225
Il faut mettre en place dans toutes les communes le compostage.,Marielle,32,336,0.86156146179402,0.581132075471698,1.442693537265718
Il faut une ceinture maraîchère autour des villes pour un approvisionnement local en produits bio et redonner du sens à l’agriculture,Julie,41,238,0.877566371681416,0.5637254901960786,1.4412918618774948
Il faut favoriser les circuits courts,Cf,,103,0.962394366197183,0.4788732394366195,1.4412676056338025
Il faut privilegier les semences paysanne au détriment des graines génétiquement modifiées.,Nicolas,35,201,0.90344262295082,0.5375722543352598,1.4410148772860798
"Il faut prioriser les producteurs locaux, du département ou région, fruits, légumes, lait , oeufs, volailles etc dans les grandes surfaces ",Nicole,64,314,0.915223367697594,0.5253623188405794,1.4405856865381734
Il faut une économie compatible avec les ressources naturelles et non au détriment de la planète,Geoff,,223,0.961220930232558,0.479289940828402,1.44051087106096
"Il faut mieux préparer la résilience de chaque territoire, par le développement de circuits courts locaux pour l'alimentation",Pascal,,333,0.903468013468013,0.5367647058823529,1.440232719350366
Il faut relocaliser notre alimentation dans nos territoires en développant l’agro-écologie grâce à une nouvelle génération paysanne,Cyril,,189,0.903271604938272,0.5369127516778528,1.4401843566161248
Il faut sauver les abeilles et les pollinisateurs en interdisant les pesticides néonicotinoïdes ,Pascal,,324,0.923926174496644,0.5159010600706709,1.439827234567315
Il faut aider tous les agriculteurs dans leur transition vers le raisonné puis le bio. ,Emilie,,311,0.889353448275862,0.55023923444976,1.439592682725622
Il faut soutenir la production française (agricole et artisanale) en aidant les entreprises locales qui proposent des services écologiques ,Mélissandre,,159,0.911806451612903,0.527777777777778,1.439584229390681
"Il faut une politique de reboisement de la planète, une surveillance accrue des forêts et un arrêt immédiat du déboisement intempestif.",Geneviève,,315,0.934214046822742,0.505263157894737,1.439477204717479
"Il faut relocaliser notre alimentation pour garder du lien avec nos producteurs, nos paysans , nos maraîchers sur qui on peut s’appuyer.",Vero,,378,0.927281879194631,0.5121107266435988,1.4393926058382298
"Il faut Réduire fortement la pollution lumineuse (obligation d'éteindre les immeubles de bureaux, développer éclairage public sensible) ",Michele ,54,711,0.906203389830508,0.5330882352941184,1.4392916251246264
Il faut mettre en place une filière de consigne du verre pour réutiliser les contenants plutôt que les recycler,david,46,422,0.852962962962963,0.5862068965517243,1.4391698595146873
Il faut enlever le surplus d'emballage alimentaire.,Lea,22,391,0.950936454849498,0.4879725085910658,1.4389089634405638
Il faut enseigner et soutenir une agriculture basée sur les principes de durabilité et d'autonomie de l'agroécologie,Mélissandre,,303,0.920836120401338,0.5178571428571427,1.4386932632584806
